# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -79.2442 -41.4763 -211.529 15.2723 5.20199 -121.353 -7.52584
1000 -2.39544 -2.62191 -11.067 6.50262 8.3356 -73.8933 -1.36457
1500 -1.38665 -0.632918 -5.49363 1.9666 8.70319 -59.6787 5.0442
2000 0.72146 1.23988 2.41337 -1.48887 1.75668 6.35608 6.94993
2500 -0.580043 0.18518 0.0763607 -2.00167 4.34591 48.87 3.14866
3000 1.25541 0.507622 0.493672 2.76492 4.6432 35.5546 3.34681
3500 1.39834 2.15839 0.519932 1.51671 8.64509 1.27094 -1.88387
4000 0.722062 -1.11164 0.198099 3.07972 7.56622 -24.0723 -3.88835
4500 1.4478 1.74099 2.38435 0.218054 -1.85232 -50.2789 -3.86431
5000 0.787168 1.74431 0.65366 -0.0364667 0.769597 -36.6864 -4.16434
5500 0.336367 0.458465 0.690477 -0.139841 2.19107 -27.3166 -5.40642
6000 1.61233 2.19657 1.76259 0.87782 0.862911 -10.6713 -1.88593
6500 1.0072 0.804513 1.61153 0.605556 3.01688 5.25891 1.3632
7000 0.953325 1.42649 0.611664 0.821818 6.49629 9.02128 8.39571
7500 0.26366 -0.986161 0.18464 1.5925 6.60884 11.9134 5.61494
8000 1.41983 2.31486 1.3224 0.622224 0.795799 -2.92931 6.44507
8500 1.97348 1.36582 1.83736 2.71725 2.50568 -11.4564 2.17734
9000 0.675531 1.75876 0.641432 -0.373601 3.71509 -10.2155 1.93734
9500 0.468332 0.441287 -0.580601 1.54431 -2.2837 -17.1061 -0.0842006
10000 0.318213 -0.898368 0.926864 0.926144 -7.93949 -21.812 -5.82595
10500 2.1933 2.18114 2.63945 1.75932 2.88644 -9.55126 -1.30756
11000 0.0803553 1.36482 -0.579733 -0.54402 4.34835 -8.31842 0.394904
11500 2.17465 2.30267 2.50774 1.71355 7.79771 3.02869 1.79929
12000 0.503432 -0.0458493 1.05523 0.500913 -1.28941 -6.57087 -1.81866
12500 1.39797 1.46784 2.58054 0.145524 0.182958 4.09326 -1.75644
13000 0.915715 1.09434 -0.93237 2.58517 -0.302876 -1.60987 -7.65639
13500 0.159241 0.155586 0.80073 -0.478594 -4.43934 -6.91041 1.85497
14000 1.63108 1.08844 2.70629 1.0985 -3.33899 -11.1775 -0.463926
14500 1.09612 1.0713 -0.0927485 2.30982 2.10192 -13.4676 -1.22188
15000 0.881229 1.46917 0.016973 1.15754 1.9865 -16.5738 -4.80333
15500 0.814214 1.82605 2.38225 -1.76566 0.835358 -11.4382 1.98876
