# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 305.717 152.084 217.805 1.01268e+07
1000 304.53 150.183 219.091 1.00202e+07
1500 303.546 149.772 219.991 1.00014e+07
2000 303.31 149.702 219.651 9.97347e+06
2500 303.524 149.806 219.038 9.95964e+06
3000 303.898 149.752 218.725 9.95402e+06
3500 303.633 149.742 218.89 9.95222e+06
4000 303.495 149.808 219.101 9.96162e+06
4500 303.332 149.776 219.284 9.96247e+06
5000 302.963 149.712 219.547 9.95806e+06
5500 302.847 149.664 219.752 9.96036e+06
6000 302.708 149.677 219.946 9.96537e+06
6500 302.491 149.743 219.975 9.96394e+06
7000 302.422 149.757 219.889 9.95873e+06
7500 302.756 149.759 219.705 9.96151e+06
8000 302.77 149.74 219.52 9.95229e+06
8500 303.093 149.735 219.374 9.95599e+06
9000 302.781 149.723 219.539 9.95243e+06
9500 302.679 149.738 219.672 9.95611e+06
10000 302.364 149.789 219.794 9.95468e+06
10500 302.223 149.766 219.922 9.95427e+06
11000 302.046 149.762 220.08 9.95531e+06
11500 301.884 149.7 220.267 9.95435e+06
12000 301.9 149.708 220.249 9.95454e+06
12500 301.871 149.839 220.101 9.95563e+06
13000 301.993 149.836 220.044 9.95684e+06
13500 301.92 149.897 220.03 9.95785e+06
14000 301.934 149.855 219.918 9.95047e+06
14500 302.166 149.845 219.761 9.95034e+06
15000 302.036 149.929 219.769 9.95201e+06
15500 301.904 149.907 219.88 9.95123e+06
16000 301.899 149.77 220.132 9.95334e+06
16500 301.953 149.87 220.034 9.95734e+06
17000 301.965 149.763 220.045 9.95108e+06
17500 302.01 149.812 220.035 9.95543e+06
18000 301.918 149.802 220.102 9.95473e+06
18500 302.049 149.85 219.923 9.9542e+06
19000 302.092 149.898 219.736 9.9503e+06
19500 302.135 149.814 219.905 9.95384e+06
20000 301.811 149.801 220.153 9.95344e+06
20500 302.1 149.806 219.936 9.95352e+06
21000 302.054 149.86 219.944 9.95593e+06
21500 302.035 149.799 220.04 9.9556e+06
22000 302.013 149.912 219.892 9.95568e+06
