# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
200000 3.95039 -4.64979 9.30636 7.19462 -2.41799 7.39356 0.780448
400000 -0.624943 -8.50074 3.5539 3.07201 -2.88992 6.07639 -4.61537
600000 -3.15915 -8.92601 0.438468 -0.989907 -3.72913 3.52083 -5.22697
800000 -11.1234 -15.2272 -4.70253 -13.4405 -4.47522 7.79079 -10.4724
1000000 -10.9496 -14.4645 -7.01212 -11.3722 -4.51375 5.89903 -7.67206
1200000 -14.5066 -20.2852 -5.41855 -17.8161 -3.85239 5.68355 -5.76013
1400000 -14.9009 -19.2849 -8.30386 -17.1141 -2.81711 7.48084 -3.43051
1600000 -18.776 -21.7767 -12.3662 -22.1852 -3.90287 11.8544 -6.32821
1800000 -20.9491 -24.9882 -14.7381 -23.1209 -6.40557 12.2861 -8.95641
2000000 -22.5499 -26.2391 -17.5113 -23.8993 -4.9583 11.7958 -6.23335
2200000 -26.9915 -29.2785 -23.157 -28.5389 -4.43617 12.9689 -3.6455
2400000 -27.3164 -31.3814 -20.5821 -29.9858 -3.74461 12.3262 -3.55243
2600000 -30.9091 -34.8616 -19.7756 -38.0902 -3.041 15.9789 -0.307249
2800000 -31.0771 -33.1092 -22.9436 -37.1786 -3.78757 11.4381 1.39476
3000000 -31.3137 -33.655 -20.0789 -40.2073 -1.58501 13.1499 3.90374
3200000 -32.0334 -32.3509 -22.7688 -40.9803 -1.44064 11.9855 0.0668461
3400000 -34.2805 -36.3825 -21.4311 -45.0278 -2.13636 12.0398 0.385003
3600000 -33.2768 -36.382 -19.9437 -43.5046 -1.33051 11.9433 0.790093
3800000 -36.5176 -39.0893 -20.4321 -50.0314 -3.66895 9.33296 -3.80734
4000000 -38.0668 -38.7313 -23.9824 -51.4867 -4.35782 11.6625 -1.41293
4200000 -35.8122 -35.8251 -23.3557 -48.2558 -2.67566 8.32084 -1.89223
4400000 -34.5778 -33.9307 -23.8784 -45.9242 0.0785152 9.95115 -3.76904
4600000 -36.7889 -34.9406 -23.0234 -52.4028 -0.66079 11.9248 -4.50898
4800000 -36.3622 -35.8792 -24.4171 -48.7903 -3.35564 10.2284 -3.75874
5000000 -39.8528 -39.6665 -28.7367 -51.1553 -1.70157 11.9583 -2.277
5200000 -40.9821 -40.7068 -28.0217 -54.2178 -2.66164 12.9288 0.998831
5400000 -41.7701 -41.93 -27.4393 -55.9411 -2.8882 13.4864 0.205728
5600000 -41.013 -42.6216 -26.7598 -53.6577 -2.45659 11.8698 0.658374
5800000 -41.2822 -42.5761 -29.1176 -52.1529 -1.44843 10.5077 2.2851
6000000 -42.0457 -44.2685 -27.5556 -54.3129 -1.14956 12.0637 0.927007
6200000 -44.1736 -45.1585 -29.0415 -58.3208 -1.01419 13.0427 0.0570331
6400000 -42.277 -42.9879 -26.5765 -57.2668 -0.952762 12.9828 1.44981
6600000 -45.1436 -45.9188 -30.02 -59.4918 0.437784 9.60578 3.33657
6800000 -44.9357 -45.1351 -30.6459 -59.0261 -2.00778 10.7757 4.92218
7000000 -46.0446 -45.1508 -33.5244 -59.4586 -2.31056 14.959 1.88611
7200000 -43.8046 -44.9626 -32.1792 -54.2719 -2.42423 10.3376 2.09911
7400000 -42.522 -42.5456 -30.9866 -54.0338 -3.13623 8.15289 2.92833
7600000 -43.8081 -44.6283 -33.0744 -53.7215 -3.42368 6.07859 1.62532
7800000 -44.8882 -44.5601 -33.4773 -56.627 -1.01419 8.06094 5.00783
8000000 -45.2298 -45.2994 -34.6825 -55.7076 -1.31432 7.07073 6.72649
8200000 -47.9639 -48.5998 -34.2444 -61.0476 -0.657376 10.8629 8.81689
8400000 -49.3378 -48.2977 -34.8241 -64.8917 1.54573 17.0689 11.1944
8600000 -50.2183 -51.0299 -34.9524 -64.6726 -1.2809 17.6692 7.2542
8800000 -49.2751 -49.2805 -35.7661 -62.7788 -0.485436 16.8696 6.59247
9000000 -47.1638 -45.4583 -35.3183 -60.7147 0.05491 11.5021 3.93313
9200000 -46.9898 -44.7897 -34.7538 -61.4261 -1.03492 10.5035 3.83167
9400000 -47.138 -45.962 -34.9343 -60.5178 -2.02144 11.4874 1.95684
9600000 -48.0263 -46.9355 -34.5647 -62.5786 -1.34487 12.7231 2.83575
9800000 -46.0833 -45.133 -33.7884 -59.3286 -2.07321 8.82968 -0.575063
10000000 -44.7243 -44.4199 -31.7145 -58.0385 -3.71042 4.84601 -0.34155
10200000 -47.0101 -46.0549 -33.1351 -61.8405 -3.25267 8.02429 1.16916
10400000 -50.8551 -47.933 -37.6322 -67 -3.53837 11.2361 -0.368064
10600000 -51.3395 -48.7391 -36.2938 -68.9856 -4.16189 8.78153 -0.300133
10800000 -50.5028 -48.855 -38.4631 -64.1902 -2.27516 7.69952 0.453417
11000000 -49.0153 -46.711 -38.4648 -61.87 -1.61794 10.252 0.604903
11200000 -51.9144 -49.9569 -38.3067 -67.4794 0.52673 11.0923 1.10378
11400000 -52.3773 -50.7552 -36.0375 -70.3392 -0.270834 10.3807 -0.745545
11600000 -54.0032 -52.2011 -36.7694 -73.0391 -0.451734 14.0664 -0.426886
11800000 -51.1941 -49.8967 -34.437 -69.2485 -1.53615 9.45028 -2.65324
12000000 -50.3801 -50.9172 -35.9853 -64.2377 1.03641 7.7485 2.10381
12200000 -54.4031 -53.7804 -38.5448 -70.884 1.24219 13.0356 2.56959
12400000 -55.0021 -53.7738 -38.1599 -73.0726 -0.0564545 14.5614 2.13142
12600000 -54.249 -52.8666 -37.9767 -71.9037 -0.208342 12.3784 3.518
12800000 -52.827 -52.3229 -36.4286 -69.7295 -1.91948 8.73532 2.01874
13000000 -53.2111 -52.8059 -37.8501 -68.9773 -1.91796 8.47607 1.49299
13200000 -55.9552 -57.1414 -37.3139 -73.4104 -2.05339 13.1794 -4.33585
13400000 -54.9444 -55.1558 -37.1637 -72.5137 -3.0961 13.0345 -1.99705
13600000 -56.6677 -55.0557 -40.2135 -74.7338 -1.14801 15.3279 -0.022665
13800000 -55.3177 -53.1825 -41.4422 -71.3284 1.01515 13.6128 1.65953
14000000 -55.9357 -55.2596 -41.3353 -71.212 -1.53646 14.1361 -2.14128
14200000 -57.2938 -57.1433 -41.0188 -73.7193 -2.28945 14.9149 -3.69056
14400000 -55.907 -54.1559 -40.9672 -72.5977 -2.52483 12.7046 -1.91653
14600000 -57.576 -54.0526 -43.8697 -74.8056 -0.969987 13.0229 1.99299
14800000 -58.665 -56.3425 -46.3332 -73.3192 -1.6873 15.1854 1.40359
15000000 -57.3663 -56.9998 -42.7674 -72.3318 -1.23137 12.269 0.680944
15200000 -60.9595 -61.8885 -42.7645 -78.2255 -1.44604 16.4725 -0.584139
15400000 -60.6179 -60.0322 -43.0738 -78.7477 -1.51602 19.6243 1.40965
15600000 -62.2524 -62.7495 -44.2108 -79.7969 -1.79991 23.2044 -0.784393
15800000 -59.9856 -59.7892 -42.0155 -78.1522 -2.61016 21.8264 1.26663
16000000 -63.5866 -61.896 -44.0164 -84.8472 -1.34115 22.5423 0.632009
16200000 -63.1329 -61.7658 -42.5384 -85.0947 -2.53152 21.0531 -1.88122
16400000 -62.4761 -61.6139 -40.8572 -84.9573 -2.03216 19.2734 -2.68168
16600000 -63.3435 -61.7577 -40.6074 -87.6655 -0.826049 23.5006 -5.74801
16800000 -63.0207 -60.7815 -42.9089 -85.3716 -2.22195 20.9769 -4.81887
17000000 -60.881 -59.4832 -42.2513 -80.9086 -2.71996 17.4195 -7.89686
17200000 -63.0579 -61.0295 -41.24 -86.9041 -0.948905 19.1125 -6.14936
17400000 -65.3133 -61.9486 -42.9405 -91.051 0.709149 24.3105 -5.16667
17600000 -65.8906 -61.6697 -45.9276 -90.0744 -2.20603 22.4195 -5.13262
17800000 -64.8904 -61.4514 -43.6257 -89.594 -3.62687 20.1772 -5.91716
18000000 -66.3619 -63.1999 -45.7516 -90.1343 -2.28827 21.0629 -4.0873
18200000 -63.2509 -60.452 -44.7203 -84.5802 -0.778001 16.5656 -3.27185
18400000 -64.1218 -61.9525 -45.9596 -84.4532 -2.66592 16.4646 -6.87183
18600000 -65.5562 -63.0948 -45.7066 -87.8671 -4.24018 16.9507 -7.12947
18800000 -64.9198 -63.2551 -43.7205 -87.7838 -5.15202 17.9401 -6.24854
19000000 -65.3006 -63.7053 -45.0165 -87.18 -4.65766 13.8936 -7.00269
19200000 -64.7211 -63.1312 -46.016 -85.0161 -4.35562 13.6071 -7.53593
19400000 -66.8262 -62.9177 -46.2731 -91.2877 -4.52148 14.9722 -8.05845
19600000 -65.8076 -63.7896 -46.3178 -87.3154 -4.42432 15.1517 -5.06855
19800000 -65.4841 -62.3498 -46.4517 -87.6509 -4.35439 12.6072 -3.34511
20000000 -66.3446 -63.561 -46.8817 -88.5911 -4.02041 11.454 -5.31353
