# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 153.541 75.075 217.195 2.50362e+06
1000 153.721 73.8098 217 2.4621e+06
1500 153.657 73.426 216.907 2.44724e+06
2000 153.322 73.2664 216.727 2.43457e+06
2500 153.111 73.1655 216.257 2.42261e+06
3000 153.149 73.1024 216.153 2.41995e+06
3500 153.204 72.9875 216.387 2.41963e+06
4000 153.253 72.9731 216.526 2.42148e+06
4500 153.249 72.9348 216.726 2.42239e+06
5000 153.196 72.8982 216.725 2.42031e+06
5500 152.999 72.8864 216.495 2.41426e+06
6000 152.994 72.8907 216.272 2.41183e+06
6500 152.889 72.8844 216.366 2.411e+06
7000 152.961 72.8244 216.44 2.41099e+06
7500 152.937 72.8432 216.537 2.41231e+06
8000 152.973 72.8601 216.585 2.41397e+06
8500 152.952 72.8047 216.742 2.41356e+06
9000 152.775 72.8362 216.8 2.41246e+06
9500 152.671 72.8542 216.741 2.41075e+06
10000 152.773 72.8485 216.46 2.40904e+06
10500 152.805 72.9551 216.432 2.41277e+06
11000 152.869 72.8697 216.673 2.41363e+06
11500 152.946 72.8675 216.574 2.41367e+06
12000 152.806 72.952 216.718 2.41587e+06
12500 152.741 72.9363 216.857 2.41587e+06
13000 152.667 72.9187 216.68 2.41214e+06
13500 152.652 72.8549 216.685 2.40985e+06
14000 152.708 72.8928 216.7 2.41216e+06
14500 152.621 72.8714 216.452 2.40732e+06
15000 152.682 72.8809 216.552 2.4097e+06
15500 152.707 72.7793 216.907 2.4107e+06
16000 152.67 72.9576 216.523 2.41172e+06
16500 152.692 72.8881 216.515 2.40969e+06
17000 152.693 72.8969 216.54 2.41028e+06
17500 152.64 72.8562 216.419 2.40674e+06
18000 152.579 72.7919 216.814 2.40804e+06
18500 152.619 72.7825 216.927 2.40962e+06
19000 152.57 72.875 216.622 2.40853e+06
19500 152.613 72.8495 216.626 2.40841e+06
20000 152.671 72.892 216.76 2.41221e+06
20500 152.58 72.8293 216.772 2.40883e+06
21000 152.646 72.895 216.51 2.40913e+06
21500 152.519 72.9328 216.576 2.40912e+06
22000 152.516 72.7921 216.84 2.40735e+06
22500 152.551 72.8053 216.898 2.40897e+06
23000 152.522 72.878 216.875 2.41067e+06
23500 152.674 72.8978 216.612 2.4108e+06
24000 152.741 72.8908 216.56 2.41106e+06
24500 152.682 72.8371 216.763 2.41061e+06
25000 152.584 72.8757 216.712 2.40977e+06
25500 152.611 72.851 216.379 2.40567e+06
26000 152.714 72.8665 216.503 2.40919e+06
26500 152.75 72.7702 216.78 2.40966e+06
27000 152.671 72.9035 216.547 2.41022e+06
27500 152.61 72.8792 216.472 2.40761e+06
28000 152.555 72.8338 216.862 2.4096e+06
28500 152.605 72.7637 216.757 2.40689e+06
29000 152.663 72.7741 216.627 2.40671e+06
29500 152.686 72.8535 216.598 2.40938e+06
30000 152.744 72.8024 216.666 2.40936e+06
30500 152.913 72.7605 216.64 2.41034e+06
31000 152.785 72.7074 216.747 2.40775e+06
31500 152.715 72.8829 216.535 2.4101e+06
32000 152.763 72.8558 216.391 2.40837e+06
32500 152.831 72.8464 216.419 2.40943e+06
33000 152.725 72.8399 216.77 2.41146e+06
33500 152.806 72.7957 216.691 2.41039e+06
34000 152.657 72.8719 216.669 2.41032e+06
34500 152.626 72.8596 216.872 2.41168e+06
35000 152.626 72.865 216.797 2.41102e+06
35500 152.661 72.8528 216.609 2.40908e+06
36000 152.731 72.8912 216.642 2.41182e+06
36500 152.738 72.8964 216.578 2.41139e+06
37000 152.722 72.8406 216.603 2.40956e+06
37500 152.698 72.8897 216.536 2.41006e+06
38000 152.669 72.8254 216.633 2.40857e+06
38500 152.714 72.8376 216.483 2.40801e+06
39000 152.639 72.8335 216.458 2.40642e+06
39500 152.709 72.7853 216.608 2.40758e+06
40000 152.592 72.7872 216.924 2.40932e+06
40500 152.659 72.7393 216.956 2.40914e+06
41000 152.754 72.8181 216.797 2.41149e+06
41500 152.687 72.7839 216.943 2.41092e+06
42000 152.585 72.851 216.806 2.41001e+06
42500 152.476 72.8379 216.777 2.40753e+06
43000 152.45 72.7746 216.725 2.40445e+06
43500 152.556 72.8161 216.56 2.40565e+06
44000 152.712 72.8428 216.428 2.40754e+06
44500 152.777 72.8426 216.613 2.41062e+06
45000 152.805 72.8124 216.63 2.41024e+06
45500 152.8 72.8905 216.585 2.41225e+06
46000 152.735 72.9137 216.739 2.41372e+06
46500 152.611 72.8794 216.962 2.4131e+06
47000 152.665 72.9087 216.563 2.41048e+06
47500 152.659 72.9078 216.496 2.40961e+06
48000 152.676 72.8143 216.755 2.40967e+06
48500 152.711 72.8498 216.529 2.40888e+06
49000 152.718 72.8172 216.633 2.40907e+06
49500 152.764 72.8127 216.798 2.41148e+06
50000 152.763 72.7796 216.627 2.40847e+06
50500 152.699 72.8694 216.44 2.40835e+06
51000 152.666 72.9106 216.508 2.40993e+06
51500 152.814 72.8982 216.439 2.4111e+06
52000 152.757 72.8651 216.545 2.41029e+06
52500 152.705 72.7611 216.647 2.40716e+06
53000 152.68 72.8626 216.603 2.40964e+06
53500 152.726 72.8289 216.529 2.40842e+06
54000 152.707 72.8268 216.705 2.41e+06
54500 152.702 72.782 216.722 2.40864e+06
55000 152.704 72.7556 216.769 2.40832e+06
55500 152.604 72.821 216.609 2.40714e+06
56000 152.587 72.7831 216.877 2.40859e+06
56500 152.623 72.7979 216.959 2.41055e+06
57000 152.62 72.8383 216.686 2.40881e+06
57500 152.81 72.8427 216.486 2.40972e+06
58000 152.808 72.8877 216.542 2.41181e+06
58500 152.71 72.8011 216.817 2.41046e+06
59000 152.649 72.7975 216.654 2.40756e+06
59500 152.672 72.7408 216.812 2.4078e+06
60000 152.717 72.8065 216.539 2.40764e+06
60500 152.816 72.8294 216.268 2.40695e+06
61000 152.748 72.8365 216.607 2.40989e+06
61500 152.693 72.7877 216.837 2.40996e+06
62000 152.617 72.7078 216.827 2.40602e+06
62500 152.661 72.7354 216.653 2.40568e+06
63000 152.598 72.6929 216.78 2.40469e+06
63500 152.563 72.6982 216.868 2.40529e+06
64000 152.511 72.7724 216.644 2.40444e+06
64500 152.504 72.8052 216.515 2.40397e+06
65000 152.513 72.723 216.787 2.40442e+06
65500 152.639 72.8104 216.884 2.41039e+06
66000 152.749 72.7734 216.74 2.4093e+06
66500 152.722 72.8625 216.39 2.40792e+06
67000 152.743 72.8696 216.493 2.40962e+06
67500 152.727 72.819 216.65 2.40946e+06
68000 152.642 72.8022 216.717 2.40831e+06
68500 152.672 72.8802 216.57 2.40973e+06
69000 152.628 72.7983 216.612 2.40678e+06
69500 152.663 72.7448 216.798 2.40763e+06
70000 152.545 72.7703 216.799 2.40663e+06
70500 152.54 72.738 216.688 2.40424e+06
71000 152.539 72.653 216.952 2.40434e+06
71500 152.543 72.6529 216.956 2.40446e+06
72000 152.667 72.6766 216.634 2.40361e+06
72500 152.728 72.6637 216.721 2.40513e+06
73000 152.762 72.7983 216.666 2.4095e+06
73500 152.751 72.7444 216.788 2.4089e+06
74000 152.818 72.7907 216.57 2.40907e+06
74500 152.773 72.8135 216.614 2.40961e+06
75000 152.741 72.8561 216.478 2.40899e+06
75500 152.631 72.8404 216.582 2.40789e+06
