# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -51.1283 -6.57059 -151.136 4.32208 9.99636 -131.778 -1.61294
1000 -0.876383 0.327389 -7.16987 4.21334 7.96227 -101.953 -1.31797
1500 -0.416915 1.88534 -2.52566 -0.610431 -0.0438643 -109.01 4.11172
2000 -0.354385 -3.95304 3.39957 -0.509681 11.5304 -31.45 8.01224
2500 -1.17845 2.19081 -3.75605 -1.97011 24.7549 42.2937 19.6992
3000 -0.115575 -2.31732 0.693625 1.27697 23.8855 29.7108 39.3205
3500 1.08603 4.36875 -0.980009 -0.130649 23.2062 -13.5649 41.3526
4000 2.87041 3.80368 3.31242 1.49512 18.579 -40.6508 35.7287
4500 0.707228 0.622211 -0.511004 2.01048 9.27726 -71.6911 28.5869
5000 -0.253365 -1.99397 1.83237 -0.598497 12.4403 -87.1579 22.8297
5500 2.36197 3.6149 1.64256 1.82845 8.19546 -63.9411 10.8483
6000 -1.63021 -1.10554 -2.62201 -1.16306 14.6087 -3.14367 11.4557
6500 1.86101 2.51903 0.900223 2.16379 11.3833 -26.86 4.74485
7000 1.98711 1.86321 3.96651 0.131618 1.63894 -42.9381 22.8658
7500 0.50598 1.2376 -1.10245 1.38279 8.96959 -27.7266 21.0038
8000 0.75299 0.746715 1.66146 -0.149205 -5.44154 -29.5371 13.319
8500 1.38661 2.13263 0.990985 1.0362 -2.04248 4.97599 -1.00694
9000 0.918779 0.330367 0.224978 2.20099 -3.3251 -5.91537 4.82574
9500 0.773747 0.700144 2.91348 -1.29239 -2.64932 -4.41831 16.8696
10000 2.54263 2.81962 1.35592 3.45235 -4.61558 -41.3866 26.6181
10500 -0.873071 -1.34505 1.603 -2.87716 -5.06892 -36.5484 37.8539
11000 0.194076 0.446305 -1.07456 1.21049 -1.75724 -26.4425 15.8132
11500 2.48039 2.39034 -0.18433 5.23517 14.9714 -4.13007 10.3762
12000 1.52526 -1.57943 5.08617 1.06903 4.75838 4.88566 4.35545
12500 0.27424 2.43601 -0.263543 -1.34975 5.12146 -13.9256 -20.3796
13000 -0.29537 0.459519 -1.27559 -0.0700373 -1.80897 -19.3864 -18.9808
13500 1.41846 -1.32376 1.59326 3.98588 8.36877 -14.6041 -15.7303
14000 1.4342 3.82361 0.405003 0.0739943 18.0487 -19.6689 7.71069
14500 1.43555 1.23167 0.546361 2.52861 12.9161 -36.8022 12.7288
15000 0.800381 -0.58159 2.84255 0.140183 -7.53339 6.47301 8.70649
15500 0.227754 -1.11403 -0.182148 1.97944 2.93937 7.04246 11.0684
16000 1.07203 3.80197 0.658072 -1.24396 5.71245 -29.127 17.9083
16500 0.719209 0.0224474 1.60091 0.534272 -12.1997 -6.07389 7.54367
17000 2.53456 4.06317 1.99777 1.54273 -5.21359 -20.4033 -0.728828
17500 1.48848 0.058406 -0.0915138 4.49854 -3.47857 11.3713 -7.68467
18000 1.71783 0.706128 4.05858 0.388797 -6.37148 -35.5485 -13.129
18500 -0.312263 0.090754 -0.579931 -0.447611 2.28793 -48.0828 6.42772
19000 2.37113 1.35221 4.33142 1.42976 1.07623 -15.2615 17.0279
19500 -0.656592 1.21093 -3.59884 0.418138 5.99078 -2.13873 23.7768
20000 1.84818 1.70877 3.41787 0.417912 -4.27288 -21.1592 2.49048
20500 -0.641436 0.230881 -0.676386 -1.4788 7.66242 -29.3004 14.944
21000 2.47187 2.79687 1.79584 2.82291 2.1376 -17.6188 16.693
21500 0.405484 -0.422768 0.729388 0.909832 -3.93492 0.45612 3.37398
22000 2.33509 1.41667 3.98872 1.59989 0.879267 -5.63943 11.3117
22500 0.408045 2.95955 -2.43012 0.694709 0.885804 -10.6097 1.27276
23000 -0.482057 -1.32017 -2.23045 2.10445 -1.71976 -13.4005 3.63652
23500 2.17428 0.533479 4.59983 1.38952 11.6559 -3.78742 29.0627
24000 -0.167755 0.898082 0.865475 -2.26682 -9.70343 -4.51419 24.819
24500 1.43064 1.07753 -0.115223 3.32961 5.63146 3.69594 32.5269
25000 1.77058 0.160756 4.46686 0.684116 -13.0239 -26.6976 7.04749
25500 0.710623 -0.50454 -0.558436 3.19485 5.01811 -5.88865 0.315633
26000 1.52315 4.15519 0.946548 -0.532283 -6.26338 22.0711 -0.390597
26500 -0.33821 0.0201254 0.134425 -1.16918 -5.13909 15.73 -7.41423
27000 2.58886 3.19699 2.38505 2.18453 6.16 -13.6523 32.8668
27500 1.71513 0.473698 2.64363 2.02806 -0.786599 -28.6984 35.1469
28000 0.0387509 0.0144575 -1.20673 1.30853 -1.11164 -13.8586 29.9537
28500 0.357399 -0.418368 0.390985 1.09958 -0.488598 -28.3908 16.4236
29000 0.374816 3.03289 0.794899 -2.70335 11.6867 15.0852 6.4837
29500 3.37259 2.06376 5.71671 2.33728 3.22645 3.67934 0.332717
30000 -0.746576 -1.99357 -3.19843 2.95228 14.4871 -20.3004 -8.42569
30500 0.740822 0.607847 1.15613 0.45849 10.6281 -48.4177 -6.58018
31000 1.45367 1.4217 0.112497 2.8268 4.08739 -1.6231 -4.63618
31500 0.223172 3.56167 -0.0968546 -2.7953 11.282 17.8933 7.52646
32000 1.76669 -1.2023 1.99426 4.50811 14.5064 35.7871 14.3626
32500 0.410082 0.368095 0.238935 0.623215 12.3846 8.30154 32.4583
33000 1.79433 2.72339 2.47981 0.179773 0.854547 1.35861 35.9136
33500 0.0802578 -0.691381 -0.747628 1.67978 -3.42428 -1.96611 31.1611
34000 1.1286 1.71043 0.841732 0.833651 -2.6801 4.26363 34.3664
34500 2.12962 0.773686 3.32984 2.28533 1.32026 -14.0025 20.2788
35000 -0.841194 -1.06804 0.0372942 -1.49284 -4.30861 -21.1869 16.4892
35500 0.769923 2.58972 -1.25362 0.97367 15.6609 -18.6795 16.1389
36000 1.18254 -0.824426 3.3941 0.977932 1.09608 1.13385 14.0912
36500 2.30697 4.43776 1.14189 1.34124 -3.27358 12.8904 26.7234
37000 1.27221 -0.746081 0.84827 3.71443 3.14102 -23.0398 14.5646
37500 -1.17652 0.246322 -1.56591 -2.20996 5.87494 -5.53249 39.2162
38000 1.6583 0.693111 1.23769 3.0441 -8.22872 3.01259 25.4899
38500 0.831682 -0.680659 3.24737 -0.0716601 -10.568 -1.23197 25.5236
39000 2.63661 5.07217 2.49401 0.343651 0.0157039 4.14075 28.9291
39500 -0.182593 -0.833086 -3.66616 3.95146 -3.40547 -13.5155 33.7349
40000 1.08014 1.95272 4.06329 -2.77559 -3.1649 -2.01133 25.9659
40500 2.66706 0.84556 4.79317 2.36244 -8.93982 -0.39718 19.0223
41000 -0.0673629 2.5214 -3.83535 1.11186 -6.89109 8.158 11.2299
41500 0.741762 -1.20076 2.31272 1.11333 -11.1657 -6.27561 10.0932
42000 1.19782 2.17217 0.963999 0.457285 -13.1277 9.02315 13.902
42500 0.940162 -2.22636 0.820116 4.22673 4.42114 38.1598 33.4529
43000 1.20148 4.58304 1.13882 -2.11741 -4.31922 20.9553 47.3998
43500 0.374021 -0.809921 -0.529973 2.46196 -6.17426 25.2745 41.6454
