# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -90.2128 -32.655 -241.923 3.93981 -11.7828 -148.736 1.37309
1000 -4.50408 -1.87236 -16.7626 5.12275 -12.6417 -93.2223 1.73179
1500 -2.29041 -4.69273 -5.11884 2.94035 -21.7446 -66.9184 -2.05929
2000 -0.756611 -1.51345 -0.863631 0.107253 -21.0947 -2.37893 -4.68416
2500 0.282418 0.703902 -1.27235 1.4157 -16.7845 38.6759 0.45626
3000 0.53982 1.74291 0.0174802 -0.140936 -17.3834 24.5561 -3.86068
3500 2.17889 1.72451 1.93181 2.88034 -17.0626 -23.1937 -4.5867
4000 0.0725024 0.410329 -2.93696 2.74414 -10.4678 -47.8222 1.0789
4500 1.17352 0.591376 2.42358 0.505607 -12.8641 -52.5573 4.55893
5000 0.422044 1.03019 1.06483 -0.828883 -14.8139 -47.0942 6.30023
5500 1.01526 -0.309954 2.00749 1.34824 -16.9983 -38.0218 -0.543742
6000 0.0844678 -0.625851 -0.469465 1.34872 -13.8932 -19.8322 -8.93548
6500 1.74927 3.13244 1.17803 0.937352 -8.0923 -4.63174 -10.2868
7000 0.888929 0.44323 0.100184 2.12337 -12.602 -14.5618 -5.86876
7500 0.551313 0.432706 1.45559 -0.234361 -17.2551 -24.9565 -1.05774
8000 1.11825 2.01274 0.860212 0.481804 -15.4175 -29.2784 1.08442
8500 1.60265 0.716666 1.53412 2.55717 -20.808 -31.9296 -3.72739
9000 0.318137 0.526058 1.14811 -0.719754 -18.0815 -19.8439 5.68857
9500 0.680823 0.997085 1.25055 -0.205164 -15.5828 -20.3058 5.13109
10000 1.70606 0.682695 1.34219 3.09329 -24.5804 -13.0235 7.67025
10500 0.63038 1.07803 0.526517 0.28659 -18.7472 -16.13 13.6685
11000 1.22354 1.1523 0.293975 2.22434 -19.8947 -14.9336 2.19789
11500 0.627479 0.749793 0.689471 0.443173 -17.2378 -26.1937 -3.11237
12000 0.950932 1.06213 0.924217 0.866446 -18.097 -32.3939 -1.14405
12500 1.30287 2.59006 1.98472 -0.666178 -19.4811 -13.2687 -10.6412
13000 0.0729131 -0.836382 -0.535707 1.59083 -15.665 -14.4752 -12.2659
13500 1.91225 1.94974 1.7138 2.07322 -16.5138 -11.6164 -2.47835
14000 0.715008 0.222512 0.287744 1.63477 -12.4257 -16.4179 6.58097
14500 1.36416 1.20642 1.11823 1.76782 -7.93241 -12.7783 11.1328
15000 0.601736 0.930247 0.967792 -0.0928317 -10.5857 -12.0908 13.0881
15500 0.9181 0.291168 0.56504 1.89809 -6.30816 -22.5699 3.54966
16000 0.855617 1.285 0.562308 0.719547 -9.34483 -10.5846 1.81794
16500 0.387152 0.298876 0.75349 0.109089 -14.4918 -10.2484 -3.81153
17000 1.74652 1.95814 1.8716 1.4098 -7.44363 -10.1767 -9.34127
17500 0.691253 0.695486 -0.0940208 1.4723 -9.53742 -9.50495 -5.70096
18000 1.78906 2.12074 3.06897 0.177471 -5.36688 -30.4152 -6.36088
18500 -0.0484803 0.305214 -0.445598 -0.00505623 -7.8841 -19.3274 1.59949
19000 1.05799 0.488153 0.392629 2.29319 -6.15768 -0.228276 5.73795
19500 1.1808 1.96695 1.70687 -0.131408 -1.07233 2.72664 7.87708
20000 0.939466 0.884817 -0.285577 2.21916 -2.0627 -2.27181 8.87613
20500 1.25913 0.72807 2.41389 0.635436 -0.776125 3.4826 7.26687
21000 1.08106 1.20268 2.1447 -0.10419 -1.96714 -13.4387 4.37499
21500 0.777993 1.75197 -0.258531 0.840543 0.946771 -8.78262 -2.177
22000 0.426911 0.0657477 0.706441 0.508545 -2.41159 -26.8321 -5.47886
22500 1.74955 1.01457 1.98383 2.25026 -1.51908 -19.5932 -3.92189
23000 0.541813 0.851364 0.331582 0.442493 2.18117 -7.88829 0.819248
23500 1.68114 1.09607 1.74086 2.20649 0.628265 -5.32171 7.17149
24000 0.672913 0.896042 0.587299 0.535396 5.92947 -10.6699 13.4153
24500 0.100357 0.841806 -0.0753809 -0.465355 -3.28097 -4.4308 5.64507
25000 2.31481 1.59223 3.04937 2.30282 -4.0102 -8.58679 4.4637
25500 0.846772 0.906487 0.573589 1.06024 2.56617 -24.111 -0.291253
26000 0.0989422 0.815582 -0.706267 0.187512 3.97446 -14.957 -4.66287
26500 0.828596 0.960217 0.635841 0.889729 -7.26749 -7.81956 0.283846
27000 1.08907 0.530258 2.30411 0.432843 -3.38695 -2.60133 8.34564
27500 0.833837 0.673599 0.128377 1.69954 0.949817 -1.29671 17.3165
28000 2.0533 2.10694 1.26227 2.7907 -0.352431 -2.67647 18.4902
28500 0.551231 1.15231 0.568458 -0.0670739 -6.42285 -8.04006 18.6755
29000 0.83059 1.05635 0.331383 1.10403 3.69516 -2.11587 12.6942
29500 0.918484 0.388607 1.5274 0.839443 2.22526 -7.50633 6.83907
30000 1.09922 1.03679 1.41431 0.846549 -1.72278 -11.0224 -1.07485
30500 1.12251 0.862369 1.92398 0.581189 -0.0263527 -7.32078 -3.32478
31000 0.852443 1.59899 0.22181 0.736533 -0.982751 -1.99154 -11.0553
31500 0.904748 0.317556 0.434716 1.96197 -3.49744 3.36706 -6.25257
32000 1.06237 -0.135182 1.96334 1.35896 -0.25972 0.0583682 1.52594
32500 1.48307 2.50058 1.22746 0.721171 4.34806 4.62128 10.1668
33000 0.946542 0.817316 1.1345 0.88781 -0.0182665 11.9976 11.4211
33500 -0.0578258 0.331018 0.0960782 -0.600574 -1.58323 6.52716 0.360565
34000 1.20498 0.337444 1.01655 2.26094 0.151123 1.11743 -2.37065
34500 1.51673 1.25555 1.06155 2.23309 4.2448 -0.496843 -3.82709
35000 0.318484 1.62009 0.183271 -0.847908 0.31839 -7.67405 -7.83588
35500 1.83386 -0.249007 2.80146 2.94913 -4.19345 -13.7119 -7.43698
36000 1.38229 2.62312 0.716522 0.807241 -3.40101 -14.0603 -3.51155
36500 0.268793 0.702437 0.473798 -0.369856 -7.58114 -22.7017 1.41963
37000 1.37729 0.849703 1.73901 1.54315 -1.05537 -11.4749 9.57526
37500 0.82977 0.662086 1.00514 0.822088 -4.98969 -1.63119 8.64508
38000 1.07747 1.46784 -0.952137 2.71671 -2.53786 -17.1266 4.37379
38500 0.882849 1.07171 1.58601 -0.00917978 -1.74879 -12.4355 4.51722
39000 0.727945 -0.202246 1.80555 0.580528 2.79456 -0.0945107 4.87272
39500 2.05997 3.47153 1.04562 1.66276 2.84456 -4.63708 -2.20573
40000 0.735383 0.0138005 1.44102 0.751328 -1.52846 -4.59738 1.30086
40500 0.448062 1.00194 0.23201 0.110237 3.33733 -3.17861 1.53549
41000 1.07581 0.0954226 0.995577 2.13644 -0.0487979 -11.7653 2.93035
41500 0.738624 1.65642 0.134114 0.425335 0.760459 -22.7412 4.86834
42000 1.46376 1.54894 1.55972 1.28264 0.974295 -5.44037 9.98868
42500 0.157001 -0.51024 1.38822 -0.406971 -1.98038 7.74354 10.0274
43000 1.34034 1.28096 0.403433 2.33664 -1.75034 6.3188 0.387081
43500 0.927404 1.34568 0.683506 0.753026 -0.265689 8.11599 -2.92006
44000 1.26977 1.69409 1.76051 0.354709 3.70384 0.823609 -12.2089
