# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 306.334 150.96 217.202 1.00445e+07
1000 306.462 148.108 217.065 9.85244e+06
1500 305.636 147.232 217.497 9.78721e+06
2000 304.748 146.865 217.52 9.7355e+06
2500 304.271 146.597 217.422 9.69821e+06
3000 304.235 146.453 217.333 9.6835e+06
3500 304.377 146.34 217.427 9.68475e+06
4000 304.657 146.146 217.603 9.68861e+06
4500 304.573 146.052 217.701 9.68407e+06
5000 304.484 146.097 217.654 9.68214e+06
5500 304.258 146.131 217.62 9.67572e+06
6000 303.962 146.099 217.621 9.66425e+06
6500 303.912 146.087 217.604 9.66106e+06
7000 303.852 145.996 217.664 9.65581e+06
7500 303.95 146.039 217.681 9.66251e+06
8000 303.989 145.966 217.722 9.66073e+06
8500 304.089 145.98 217.701 9.66395e+06
9000 304.058 145.969 217.657 9.6603e+06
9500 304.016 146.052 217.547 9.65951e+06
10000 303.922 146.07 217.472 9.65441e+06
10500 303.856 146.07 217.558 9.65613e+06
11000 303.917 146.016 217.663 9.65919e+06
11500 303.953 146.001 217.774 9.66426e+06
12000 304.033 145.901 217.664 9.65528e+06
12500 303.924 145.946 217.546 9.64958e+06
13000 303.961 145.925 217.457 9.64544e+06
13500 303.862 145.897 217.637 9.64842e+06
14000 303.81 145.921 217.763 9.65394e+06
14500 303.793 145.836 217.741 9.64675e+06
15000 303.901 145.821 217.737 9.64904e+06
15500 303.894 145.774 217.714 9.64467e+06
16000 303.71 145.801 217.706 9.64029e+06
16500 303.722 145.756 217.727 9.63859e+06
17000 303.691 145.781 217.709 9.6385e+06
17500 303.703 145.757 217.683 9.63616e+06
18000 303.827 145.657 217.784 9.6379e+06
18500 303.947 145.788 217.667 9.64521e+06
19000 303.971 145.79 217.458 9.63683e+06
19500 303.897 145.761 217.489 9.63397e+06
20000 303.991 145.706 217.47 9.63249e+06
20500 304.063 145.665 217.423 9.62996e+06
21000 303.935 145.809 217.463 9.63721e+06
21500 304.038 145.811 217.34 9.63515e+06
22000 304.096 145.796 217.369 9.63725e+06
22500 304.058 145.802 217.475 9.64115e+06
23000 304.041 145.764 217.464 9.63764e+06
23500 303.889 145.747 217.391 9.62848e+06
24000 303.89 145.742 217.491 9.63254e+06
24500 303.987 145.772 217.461 9.6363e+06
25000 304.032 145.693 217.411 9.63031e+06
25500 303.986 145.683 217.426 9.62879e+06
26000 304.038 145.719 217.342 9.62917e+06
26500 303.955 145.693 217.392 9.62701e+06
27000 303.923 145.684 217.428 9.62701e+06
27500 303.892 145.755 217.407 9.62977e+06
28000 303.884 145.735 217.474 9.63118e+06
28500 303.918 145.672 217.448 9.62697e+06
29000 303.887 145.719 217.367 9.62543e+06
29500 303.969 145.713 217.356 9.62714e+06
30000 303.99 145.655 217.439 9.62766e+06
30500 303.972 145.697 217.363 9.62654e+06
31000 303.873 145.738 217.342 9.62518e+06
31500 303.839 145.759 217.404 9.6282e+06
32000 303.801 145.676 217.472 9.62459e+06
32500 303.9 145.678 217.398 9.62456e+06
33000 303.887 145.681 217.318 9.6208e+06
33500 303.928 145.756 217.307 9.62658e+06
34000 303.905 145.682 217.24 9.61795e+06
34500 303.968 145.624 217.345 9.62082e+06
35000 303.919 145.571 217.486 9.62201e+06
35500 303.963 145.627 217.408 9.62359e+06
36000 303.95 145.643 217.422 9.62487e+06
36500 303.932 145.633 217.427 9.62383e+06
37000 303.997 145.639 217.337 9.62232e+06
37500 303.939 145.689 217.316 9.62286e+06
38000 303.861 145.593 217.503 9.62234e+06
38500 303.811 145.563 217.52 9.61955e+06
39000 303.89 145.64 217.334 9.61889e+06
39500 304.009 145.619 217.397 9.62407e+06
40000 303.977 145.649 217.351 9.62298e+06
40500 303.954 145.643 217.283 9.61883e+06
41000 303.912 145.69 217.411 9.62629e+06
41500 303.908 145.59 217.458 9.62165e+06
42000 303.946 145.537 217.411 9.61728e+06
42500 303.852 145.599 217.353 9.61583e+06
43000 303.883 145.623 217.302 9.6161e+06
43500 303.876 145.596 217.303 9.6142e+06
44000 303.848 145.581 217.309 9.61256e+06
44500 303.952 145.602 217.373 9.62009e+06
45000 304.004 145.583 217.494 9.6258e+06
45500 303.956 145.668 217.458 9.62836e+06
46000 303.883 145.647 217.336 9.61923e+06
46500 303.979 145.76 217.125 9.62042e+06
47000 303.964 145.681 217.21 9.61846e+06
47500 303.973 145.72 217.293 9.62497e+06
48000 303.939 145.7 217.341 9.62469e+06
48500 304.037 145.682 217.34 9.62657e+06
49000 304.079 145.835 217.163 9.63015e+06
49500 304.074 145.841 217.122 9.62859e+06
50000 304.04 145.773 217.123 9.62311e+06
